"name","rarity","level","power","range","limit_type","ammo/heat_rate","type","focus","asl","sub_weapon"
"アクト・ザク用ビーム・ライフル",2,3,1925,310,"heat",90,"beam","×","×",""
"アクト・ザク用ビーム・ライフル",2,2,1837,305,"heat",90,"beam","×","×",""
"アクト・ザク用ビーム・ライフル",2,1,1750,300,"heat",90,"beam","×","×",""
"アクト・ザク用ブルパップガン",2,3,181,200,"bullet",42,"ammo","×","○",""
"アクト・ザク用ブルパップガン",2,2,173,200,"bullet",41,"ammo","×","○",""
"アクト・ザク用ブルパップガン",2,1,165,200,"bullet",40,"ammo","×","○",""
"アサルトアーマー用ショットガン",2,2,88,125,"bullet",6,"ammo","×","×",""
"アサルトアーマー用ショットガン",2,1,80,120,"bullet",6,"ammo","×","×",""
"アレックス用ハイパー・バズーカ",2,2,1575,305,"bullet",6,"ammo","×","×",""
"アレックス用ハイパー・バズーカ",2,1,1500,300,"bullet",6,"ammo","×","×",""
"アレックス用ビーム・ライフル",2,2,1000,405,"heat",30,"beam","○","×",""
"アレックス用ビーム・ライフル",2,1,950,400,"heat",30,"beam","○","×",""
"イフリート改用腕部グレネード",2,3,891,285,"bullet",2,"ammo","×","×",""
"イフリート改用腕部グレネード",2,2,850,280,"bullet",2,"ammo","×","×",""
"イフリート改用腕部グレネード",2,1,810,275,"bullet",2,"ammo","×","×",""
"ガトリング・キャノン",2,3,140,350,"bullet",208,"ammo","×","○",""
"ガトリング・キャノン",2,2,130,350,"bullet",204,"ammo","×","○",""
"ガトリング・キャノン",2,1,120,350,"bullet",200,"ammo","×","○",""
"ガトリング・シールド",2,4,138,250,"bullet",86,"ammo","×","○",""
"ガトリング・シールド",2,3,132,250,"bullet",84,"ammo","×","○",""
"ガトリング・シールド",2,2,126,250,"bullet",82,"ammo","×","○",""
"ガトリング・シールド",2,1,120,250,"bullet",80,"ammo","×","○",""
"ガルバルディα用ビーム・ライフル",2,2,1785,355,"heat",95,"beam","×","×",""
"ガルバルディα用ビーム・ライフル",2,1,1700,350,"heat",95,"beam","×","×",""
"ガンキャノン用ビーム・ライフル",2,4,2012,615,"heat",65,"beam","○","×",""
"ガンキャノン用ビーム・ライフル",2,3,1925,610,"heat",65,"beam","○","×",""
"ガンキャノン用ビーム・ライフル",2,2,1837,605,"heat",65,"beam","○","×",""
"ガンキャノン用ビーム・ライフル",2,1,1750,600,"heat",65,"beam","○","×",""
"ガンダム用ビーム・ライフル",3,4,1811,415,"heat",55,"beam","○","×",""
"ガンダム用ビーム・ライフル",3,3,1732,410,"heat",55,"beam","○","×",""
"ガンダム用ビーム・ライフル",3,2,1653,405,"heat",55,"beam","○","×",""
